,5.576,22.014,SNR,8.4,8.0,4.0,,Crab Nebula,NGC1952,Tau,,
,15.982,-22.837,GCl,6.2,8.4,,,,NGC7089,Aqr,,
,-7.855,29.198,GCl,6.4,16.2,,,,NGC5272,CVn,,
,2.690,-54.901,GCl,5.4,28.2,,,Spider Globular Cluster,NGC6121,Sco,,
,-1.084,28.609,GCl,6.0,15.0,,,Rose Cluster,NGC5904,Se1,,
,2.363,-34.337,OCl,4.2,15.6,,,Butterfly Cluster,NGC6405,Sco,,
,0.226,-2.539,OCl,3.3,22.2,,,Ptolemy's Cluster,NGC6475,Sco,,
,0.163,10.413,Neb,5.8,45.0,30.0,,Lagoon Nebula,NGC6523,Sgr,,
,-0.741,5.864,GCl,8.4,6.9,,,,NGC6333,Oph,,
,-0.368,14.417,GCl,5.0,9.3,,,,NGC6254,Oph,,
,1.900,-2.171,OCl,5.8,9.0,,,Amas de l'Ecu de Sobieski,NGC6705,Sct,,
,-2.065,4.322,GCl,6.1,11.1,,,,NGC6218,Oph,,
,-0.092,38.409,GCl,5.8,16.5,,,Hercules Globular Cluster,NGC6205,Her,,
,0.932,-39.707,GCl,5.7,9.9,,,,NGC6402,Oph,,
,3.873,15.413,GCl,6.3,11.1,,,Great Pegasus Cluster,NGC7078,Peg,,
,-3.187,-25.974,Neb,6.0,120.0,25.0,,Eagle Nebula,NGC6611,Se2,,
,0.033,-2.365,Neb,7.0,12.6,,,Checkmark Nebula,NGC6618,Sgr,,
,-0.013,-0.930,OCl,6.9,6.0,,,Black Swan Cluster,NGC6613,Sgr,,
,-1.289,-9.166,GCl,5.6,7.5,,,,NGC6273,Oph,,
,1.001,3.296,Neb,8.5,28.0,28.0,,Trifid Nebula,NGC6514,Sgr,,
,0.025,0.482,OCl,5.9,6.0,,,Webb's Cross Cluster,NGC6531,Sgr,,
,0.537,-1.413,GCl,6.2,12.6,,,Great Sagittarius Cluster,NGC6656,Sgr,,
,-0.656,4.918,OCl,5.5,16.8,,,,NGC6494,Sgr,,
,0.331,0.470,*Ass,4.5,120.0,60.0,90,Small Sgr Star Cloud,IC4715,Sgr,,
,0.248,-0.600,OCl,4.6,14.1,,,,IC4725,Sgr,,
,0.225,9.731,OCl,8.9,6.0,,,,NGC6694,Sct,,
,1.238,32.105,PN,7.4,6.7,,,Dumbbell Nebula,NGC6853,Vul,,
,-1.584,-47.591,GCl,6.9,5.1,,,,NGC6626,Sgr,,
,1.990,63.378,OCl,6.6,3.6,,,Cooling Tower Cluster,NGC6913,Cyg,,
,1.274,-61.687,GCl,7.1,9.0,,,Jellyfish Cluster,NGC7099,Cap,,
,-20.961,64.448,G,3.4,177.8,69.7,35,Andromeda Galaxy,NGC0224,And,Sb,23.6
,-0.000,-0.404,G,8.1,7.7,4.9,170,,NGC0221,And,E,22.2
,0.852,-10.205,G,5.8,62.1,36.7,23,Triangulum Galaxy,NGC0598,Tri,Sc,23.6
